objectid,filename,title,creator,editor,publisher,date,subject,description,source,identifier,format,language,rights,rightsstatement
W.2005.1.374,https://weltylab.org/collection/W2005_1_374.jpg,The News from Ireland and Other Stories,William Trevor, ,,1986,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.376,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.375,https://weltylab.org/collection/W2005_1_375.jpg,The Complete Poems and Plays,T.S. Eliot, ,,1952,Anthology, Note: ,Mississippi Department of Archives and History,W2005.1.377,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.376,https://weltylab.org/collection/W2005_1_376.jpg,The Becker Wives and Other Stories,Mary Lavin, ,,1946,Fiction,"Book is inscribed on front free end paper: ""11.11.1949/ For Eudora on (illegible) on/ selling the Golden Apples.  I'll send a/ newer book as soon as the print is/ dry!/ - Mary Lavin"" Note: ",Mississippi Department of Archives and History,W2005.1.378,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.377,https://weltylab.org/collection/W2005_1_377.jpg,At Sallygap and Other Stories,Mary Lavin, ,,1947,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.379,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.378,https://weltylab.org/collection/W2005_1_378.jpg,Dutch Interior,Frank O'Connor, ,,1940,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.380,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.379,https://weltylab.org/collection/W2005_1_379.jpg,Tales from Bective Bridge,Mary Lavin, ,,1978,Fiction,"Book is inscribed on rear free end paper: ""April 1991/ To Miss Eudora Welty/ a memento Irish-style of/ your visit to Atlanta/ and Laideia./  It has been of the best/ things in the whole wide world/ to meet you and chat./  Your visit to us has been a blessing./  With the deepest admiration,/ Joseph Cullen"" Note: ",Mississippi Department of Archives and History,W2005.1.381,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.380,https://weltylab.org/collection/W2005_1_380.jpg,Instant Lives and More,Howard Moss, ,,1985,,Inscription on dedication page near her printed name: For Eudora/ once again/ with love/ Howard  May 1985 Note: ,Mississippi Department of Archives and History,W2005.1.382,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.381,https://weltylab.org/collection/W2005_1_381.jpg,Foreign Affairs and Other Stories,Sean O'Faolain, ,,"1976, c1975.",Fiction," Note: Five stories appeared in Playboy, one in Winter's tales (London), and one in the Atlantic monthly.",Mississippi Department of Archives and History,W2005.1.383,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.382,https://weltylab.org/collection/W2005_1_382.jpg,Traveller's Samples: Stories and Tales,Frank O'Connor, ,,1951,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.384,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.383,https://weltylab.org/collection/W2005_1_383.jpg,Poems from Italy, ,William Jay Smith (selected) Smith,,1972,Poetry,Inscription on free front end paper: For Eudora-/ a little reminder of where/ we first met-/ with love as ever-/ Bill Note: ,Mississippi Department of Archives and History,W2005.1.385,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.384,https://weltylab.org/collection/W2005_1_384.jpg,The Talking Trees,Sean O'Faolain, ,,1970,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.386,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.385,https://weltylab.org/collection/W2005_1_385.jpg,Stephen Hero,James Joyce, ,,1944,Autobiographical Novel, Note: ,Mississippi Department of Archives and History,W2005.1.387,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.386,https://weltylab.org/collection/W2005_1_386.jpg,A Family Likeness,Mary Lavin, ,,1985,Fiction,"Inscription on free front end paper: Dublin/ May 20, 1988/ For dear dear Eudora,/ What a long time it is since/ we swapped a Curtain of/ Green and Tales from Bective Bridge./ Such a long tine for a/ deep affection to thrive on/ two meetings and the one in/ the Algonquin - do you/ remember when we met in the/ left? And only four or five letters./ Mary Note: ",Mississippi Department of Archives and History,W2005.1.388,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.387,https://weltylab.org/collection/W2005_1_387.jpg,The Crock of Gold,James Stephens, ,,1937,,"Inscribed on front free end paper: ""Eudora Welty/ Eudora Welty"" with first line in neat print and second line in larger script. Note: ",Mississippi Department of Archives and History,W2005.1.389,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.388,https://weltylab.org/collection/W2005_1_388.jpg,In the Middle of the Fields,Mary Lavin, ,,1991,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.390,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.389,https://weltylab.org/collection/W2005_1_389.jpg,The Finest Stories of Sean O'Faolain,Sean O'Faolain, ,,1957,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.391,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.390,https://weltylab.org/collection/W2005_1_390.jpg,The Even-Tempered Angler,"Louis D.,Jr  Rubin", ,,1983,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.392,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.391,https://weltylab.org/collection/W2005_1_391.jpg,Marianne Thornton: A Domestic Biography,E.M. Forster, ,,1956,Non-fiction,"Inscription on free front end paper and inside front book jacket flap: ""Eudora Welty"" (on first page) ""C27"" on book jacket.  Note: ",Mississippi Department of Archives and History,W2005.1.393,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.392,https://weltylab.org/collection/W2005_1_392.jpg,The Heat of the Sun,Sean O'Faolain, ,,1966,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.394,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.393,https://weltylab.org/collection/W2005_1_393.jpg,A Memory and Other Stories,Mary Lavin, ,,1973 [c1972],Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.395,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.394,https://weltylab.org/collection/W2005_1_394.jpg,The Shrine and Other Stories,Mary Lavin, ,,1977,Fiction,Inscription on free front end paper: Jackson Oct. 1978/ For dear Eudora from Mary (L.) Note: ,Mississippi Department of Archives and History,W2005.1.396,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.395,https://weltylab.org/collection/W2005_1_395.jpg,Short Novels of Colette, Colette, ,,1951,Fiction, Note: Introduction by Glenway Wescott,Mississippi Department of Archives and History,W2005.1.397,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.396,https://weltylab.org/collection/W2005_1_396.jpg,Etched in Moonlight,James Stephens, ,,1928,Fiction,"Inscription on free front end paper: May 7, 1928 Calcutta/ Eudora Welty/ 1941 Note: ",Mississippi Department of Archives and History,W2005.1.398,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.397,https://weltylab.org/collection/W2005_1_397.jpg,"Three Short Novels by Colette: Gigi, Julie de Carneilhan, Chance Acquaintances", Colette, ,,1952,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.399,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
